env,method,run,env_steps,return
atari_alien,dreamerv2,atari_alien_nosched_0,153000000.0,2220.0
atari_alien,dreamerv2,atari_alien_nosched_0,154000000.0,2467.0
atari_alien,dreamerv2,atari_alien_nosched_0,155000000.0,2070.0
atari_alien,dreamerv2,atari_alien_nosched_0,156000000.0,2057.0
atari_alien,dreamerv2,atari_alien_nosched_0,157000000.0,2319.0
atari_alien,dreamerv2,atari_alien_nosched_0,158000000.0,2454.0
atari_alien,dreamerv2,atari_alien_nosched_0,159000000.0,2769.0
atari_alien,dreamerv2,atari_alien_nosched_0,160000000.0,2070.0
atari_alien,dreamerv2,atari_alien_nosched_0,161000000.0,2419.0
atari_alien,dreamerv2,atari_alien_nosched_0,162000000.0,2570.0
atari_alien,dreamerv2,atari_alien_nosched_0,163000000.0,2570.0
atari_alien,dreamerv2,atari_alien_nosched_0,164000000.0,2220.0
atari_alien,dreamerv2,atari_alien_nosched_0,165000000.0,2468.0
atari_alien,dreamerv2,atari_alien_nosched_0,166000000.0,2419.0
atari_alien,dreamerv2,atari_alien_nosched_0,167000000.0,2219.0
atari_alien,dreamerv2,atari_alien_nosched_0,168000000.0,2455.0
atari_alien,dreamerv2,atari_alien_nosched_0,169000000.0,2467.0
atari_alien,dreamerv2,atari_alien_nosched_0,170000000.0,2270.0
atari_alien,dreamerv2,atari_alien_nosched_0,171000000.0,2367.0
atari_alien,dreamerv2,atari_alien_nosched_0,172000000.0,2518.0
atari_alien,dreamerv2,atari_alien_nosched_0,173000000.0,2370.0
atari_alien,dreamerv2,atari_alien_nosched_0,174000000.0,2311.0
atari_alien,dreamerv2,atari_alien_nosched_0,175000000.0,2270.0
atari_alien,dreamerv2,atari_alien_nosched_0,176000000.0,3070.0
atari_alien,dreamerv2,atari_alien_nosched_0,177000000.0,2859.0
atari_alien,dreamerv2,atari_alien_nosched_0,178000000.0,2720.0
atari_alien,dreamerv2,atari_alien_nosched_0,179000000.0,2820.0
atari_alien,dreamerv2,atari_alien_nosched_0,180000000.0,2268.0
atari_alien,dreamerv2,atari_alien_nosched_0,181000000.0,2569.0
atari_alien,dreamerv2,atari_alien_nosched_0,182000000.0,2567.0
atari_alien,dreamerv2,atari_alien_nosched_0,183000000.0,2919.0
